conN,conVar,Subject
0.5290871930350325,0.454651669959615,1
0.6485061357717498,0.6025592214411265,1
0.5693128727414988,0.6404339032134032,1
0.492080635001576,0.6668115980505681,1
0.4948348015794678,0.5389576115962381,1
0.5097359532601067,0.4609683926382684,1
0.6209424053143187,0.5911876182190386,1
0.6407719516601074,0.5126091872668083,1
0.5886436269536581,0.514343999226345,1
0.5522593380112201,0.48424377726595214,1
0.5744401198867576,0.43175658556383667,1
0.5616498309039493,0.37098584641668597,1
0.5672513317389647,0.30799167880337963,1
0.5932185454169301,0.29832777039863445,1
0.5120997882689358,0.4008997306148962,1
0.6140646491107801,0.5246495061756056,1
0.6361867646335744,0.46396383598607305,1
0.5645701477343018,0.5144043025874037,1
0.591467799008816,0.4653187446189512,1
0.49964681556839197,0.555896962576009,1
0.5805628493630658,0.6065496376501547,1
0.5865399326716444,0.4971938767372809,1
0.5899696811283015,0.40461459830313884,1
0.49332107146679066,0.5169888979655328,1
0.5517810449706892,0.5305110653802235,1
0.5779499875023868,0.4767467373675739,1
0.5377893782246201,0.46171860844959245,1
0.406637017332877,0.6316796085431602,1
0.5422603428959069,0.776590337960588,1
0.47769045341229277,0.7504120493356986,1
0.4361108732252013,0.6834887998427418,1
0.5532085353669969,0.7809863641577847,1
0.4909554425307058,0.7492952769988099,1
0.48749337627640354,0.21569280162408738,2
0.5209405014950134,0.23944849173648947,2
0.5363419243707863,0.22236163914073742,2
0.47858074965037584,0.2934116607534109,2
0.5049027074236953,0.2873732441493675,2
0.47868065561771633,0.28234269893145186,2
0.4518859729634437,0.27946352445370676,2
0.4750790255553436,0.2699569247467652,2
0.4440307058113254,0.27806217928544846,2
0.5051400333792488,0.34466839856420567,2
0.518817925902594,0.3030905038980548,2
0.5717945370612514,0.34842562543575856,2
0.6274964697468813,0.3901443657198667,2
0.6376689070535673,0.3324603671892653,2
0.6551872763602916,0.30100503236486087,2
0.6688482709446975,0.26812601506070033,2
0.6949880210437036,0.2667803122465726,2
0.6687610109335084,0.2658782700176485,2
0.6538962321422019,0.24243217359673158,2
0.6604198691019229,0.20699301279682714,2
0.7133298000969575,0.271414272227531,2
0.631864087882193,0.38006284221155384,2
0.6578085549112984,0.355939207827454,2
0.6335569930592095,0.333254489966141,2
0.5640898544753902,0.40553786914055157,2
0.5904473421066456,0.37714527057495223,2
0.6214348877786487,0.36369130780396813,2
0.5272280084780075,0.4793668048444568,2
0.6468165627591875,0.6226705524379255,2
0.6003175377118661,0.5911344920449831,2
0.5188431493613188,0.6358563703370811,2
0.5440187289414012,0.5590362554298297,2
0.6200549449891928,0.5993014364394468,2
0.6793277838881817,0.30330888163033226,3
0.7127966751305165,0.30958488778893534,3
0.6699289570300873,0.3334033464320066,3
0.6269106312434606,0.35275932871885857,3
0.6525773179861734,0.3335408364605124,3
0.7150705060447912,0.3918190452856456,3
0.6690565245708062,0.40548319917648645,3
0.6954010064534488,0.37707552310647435,3
0.7232976551219887,0.3574537158222593,3
0.6664546346495042,0.3996490136027767,3
0.6920614165920987,0.3709327747674106,3
0.710116090202594,0.33285556703491914,3
0.7423043894317974,0.33066105208634206,3
0.6439230333447019,0.4612915538432647,3
0.6065552695633917,0.44376877063723214,3
0.5733941835603567,0.4213371885158557,3
0.7271123720227126,0.6445061277373965,3
0.5466335605272471,0.8765625251808482,3
0.41663499068781185,0.961247159823549,3
0.561474118477843,1.0586759834389017,3
0.5479227083014019,0.8740436071040036,3
0.4397698144225889,0.9155406734408289,3
0.4568222361020138,0.7665373821115129,3
0.5602520854600175,0.8200896044052178,3
0.6037349038625223,0.7430373203291838,3
0.7652974925406566,0.9175550336196157,3
0.7948033599677776,0.7930557617499345,3
0.712831805086682,0.7983877191621389,3
0.8739085641138999,0.9608636933841471,3
0.794077045516719,0.9283539919016798,3
0.8774829213968862,0.9094949452816782,3
0.7575271797543663,0.9675074395103824,3
0.7316614511775512,0.8257374087619362,3
0.534940625989996,0.47254114099557293,4
0.5633113171321539,0.43477429508077403,4
0.47157857630599564,0.5312849177169356,4
0.38818384704230796,0.5918173927009238,4
0.5249034373600333,0.7468930947961898,4
0.4311279222793414,0.7850655059983358,4
0.4629537680755365,0.6917040963910589,4
0.47033856654453376,0.5681328740508417,4
0.47960049300300595,0.4730301521576177,4
0.538869625500864,0.49696238672181026,4
0.44194301949012227,0.5914231213989317,4
0.5257659618281522,0.6407843817952051,4
0.5754140452706359,0.6119236723211317,4
0.6013276450137248,0.5413661373430833,4
0.63660554359976,0.5036487070465369,4
0.6186259181295238,0.4388782165777017,4
0.639748588136019,0.3933479132751517,4
0.5700125672464633,0.4541503723992327,4
0.5376928037141715,0.42795982498396995,4
0.5547421868427592,0.3764666262443515,4
0.5119205795028785,0.38681651567524256,4
0.5524106885011223,0.39043343053668156,4
0.5554432042479899,0.31841177592308045,4
0.5342463830652964,0.2971230631038513,4
0.525005092653426,0.2561810313068218,4
0.5484425177204021,0.25181967517940973,4
0.5073517979658932,0.28363717965254553,4
0.4629824608488837,0.31564841795605547,4
0.4753364581946266,0.27722672905633017,4
0.4767355891475259,0.2245796451508627,4
0.5412864790958637,0.3087654960173657,4
0.5488794090840365,0.2621982567902382,4
0.5676923512149672,0.24738448969405186,4
0.6197218015374794,0.30196649240026574,4
0.5281156227277319,0.4247855515397073,4
0.5107986504098199,0.37446238586759006,4
0.6083616832285456,0.2598657935139738,5
0.63245628427225975,0.2560818368986075,5
0.6113204115647926,0.2471372149338204,5
0.5084356091973257,0.40347937668198997,5
0.5346994074824066,0.37531109791575396,5
0.4662641100858773,0.43711947312566174,5
0.3936185898852914,0.49498661890170126,5
