schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
7,6,0.7875205911892699,same,50.91984497,22.17450084,0.5538749804233495,1,1
15,6,0.36000000000000004,new,49.521308929999996,32.19337558,0.04928000000000002,1,1
3,5,0.44375098392413215,same,38.11269084,9.358035718,0.47763675059174004,1,1
12,5,0.44,new,26.4393834,10.82212773,0.04928000000000002,1,1
2,4,0.5061542990773568,same,26.22740557,11.11918442,0.28667633719527935,1,1
11,4,0.52,new,21.04766581,12.20478566,0.04928000000000002,1,1
1,3,0.8074821757486389,same,24.40043609,5.181766043,0.24662108698688265,1,1
14,3,0.6799999999999999,new,19.82444596,5.696560695,0.04928000000000002,1,1
8,2,0.7624716025575698,same,22.92546818,17.18497774,0.6301695772092474,1,1
13,2,0.9200000000000002,new,18.27657794,14.90293958,0.04928000000000002,1,1
7,6,0.8075196294846279,same,50.91984497,22.17450084,0.4177110437393816,2,1
15,6,0.48904289078245966,new,49.521308929999996,32.19337558,0.2280603361736894,2,1
3,5,0.5857860370895913,same,38.11269084,9.358035718,0.5473983051624067,2,1
12,5,0.5302261789843344,new,26.4393834,10.82212773,0.16983526847650163,2,1
2,4,0.5750544648604032,same,26.22740557,11.11918442,0.3040236847112652,2,1
11,4,0.6123599326454922,new,21.04766581,12.20478566,0.17303589896823826,2,1
1,3,0.8712429585186107,same,24.40043609,5.181766043,0.26827593504577546,2,1
14,3,0.7479652419491655,new,19.82444596,5.696560695,0.13644386292374838,2,1
8,2,0.8002982851006514,same,22.92546818,17.18497774,0.4978587278610954,2,1
13,2,0.9330780280888169,new,18.27657794,14.90293958,0.05411304213322507,2,1
7,6,0.7383711234914571,same,50.91984497,22.17450084,0.39612048960732327,3,1
15,6,0.48904289078245966,new,49.521308929999996,32.19337558,0.2280603361736894,3,1
3,5,0.5857860370895913,same,38.11269084,9.358035718,0.5473983051624067,3,1
12,5,0.5302261789843344,new,26.4393834,10.82212773,0.16983526847650163,3,1
2,4,0.5750544648604032,same,26.22740557,11.11918442,0.3040236847112652,3,1
11,4,0.6123599326454922,new,21.04766581,12.20478566,0.17303589896823826,3,1
1,3,0.8712429585186107,same,24.40043609,5.181766043,0.26827593504577546,3,1
14,3,0.6894606098675278,new,19.82444596,5.696560695,0.18326765216908047,3,1
8,2,0.8002982851006514,same,22.92546818,17.18497774,0.4978587278610954,3,1
13,2,0.9330780280888169,new,18.27657794,14.90293958,0.05411304213322507,3,1
7,6,0.7383711234914571,same,50.91984497,22.17450084,0.39612048960732327,4,1
15,6,0.48904289078245966,new,49.521308929999996,32.19337558,0.2280603361736894,4,1
3,5,0.5857860370895913,same,38.11269084,9.358035718,0.5473983051624067,4,1
12,5,0.5302261789843344,new,26.4393834,10.82212773,0.16983526847650163,4,1
2,4,0.5822849373613905,same,26.22740557,11.11918442,0.2236622880493666,4,1
11,4,0.6123599326454922,new,21.04766581,12.20478566,0.17303589896823826,4,1
1,3,0.7771848901470457,same,24.40043609,5.181766043,0.3288802570893901,4,1
14,3,0.6894606098675278,new,19.82444596,5.696560695,0.18326765216908047,4,1
8,2,0.8002982851006514,same,22.92546818,17.18497774,0.4978587278610954,4,1
13,2,0.9330780280888169,new,18.27657794,14.90293958,0.05411304213322507,4,1
7,6,0.67196116127527,same,50.91984497,22.17450084,0.376899286049407,5,1
15,6,0.5359112012414702,new,49.521308929999996,32.19337558,0.2299447010100984,5,1
3,5,0.6401259575379349,same,38.11269084,9.358035718,0.4646886942862001,5,1
12,5,0.5932109748815646,new,26.4393834,10.82212773,0.2133618817793963,5,1
2,4,0.7014951543513888,same,26.22740557,11.11918442,0.3353789271195539,5,1
11,4,0.6505802468813195,new,21.04766581,12.20478566,0.17845560063150784,5,1
1,3,0.7915951078120127,same,24.40043609,5.181766043,0.25183150646002356,5,1
14,3,0.7299630440888459,new,19.82444596,5.696560695,0.18904100785033356,5,1
