Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,1,7,9.515999999999993,16,54,3,10,9,86,9.576999999999993,0.366,6.343999999999995,17.750999999999987,17,2,14,16,55,2,31,69,6,0.5,39,5.25,1,L,0.17412727272727271,0.183,0.20464516129032256,0.2572608695652174
1,1,2,1,1,23.91199999999998,17,126,77,79,78,60,23.97299999999998,3.2329999999999974,0.427,5.7949999999999955,18,11,4,13,127,15,4,29,3,0.5,22,3.25,1,L,0.18876377952755904,0.21553333333333333,0.10675,0.19982758620689653
1,2,3,1,12,37.45399999999997,17,148,40,39,37,45,38.06399999999997,2.1349999999999985,10.308999999999992,2.0739999999999985,20,5,17,7,154,5,42,7,5,1,60,5,1,L,0.24716883116883115,0.42699999999999977,0.24545238095238092,0.2962857142857142
1,2,4,1,1,20.800999999999984,20,121,76,23,17,30,22.020999999999983,14.700999999999988,1.4029999999999991,3.3549999999999973,20,18,6,14,123,57,6,17,3,0,20,5,1,L,0.17903252032520325,0.25791228070175437,0.23383333333333334,0.19735294117647056
1,3,5,1,11,33.305999999999976,15,132,14,33,63,21,63.74499999999995,0.061,0.7929999999999997,1.463999999999999,20,1,4,4,252,1,5,4,4,0,21,5.25,1,L,0.2529563492063492,0.061,0.1586,0.366
1,3,6,1,8,47.03099999999996,10,186,101,44,40,8,49.22699999999996,0.488,12.74899999999999,1.646999999999999,20,2,15,8,202,2,59,9,2,0,18,4.5,1,L,0.24369801980198016,0.244,0.21608474576271183,0.183
1,4,7,1,13,19.214999999999986,20,98,114,117,112,115,19.336999999999986,2.744999999999998,0.061,0.244,20,13,1,2,99,14,1,2,2,1,24,2,1,L,0.19532323232323232,0.19607142857142856,0.061,0.122
1,4,8,1,14,29.584999999999976,20,125,44,94,87,92,32.02499999999998,0.488,0.061,0.122,20,4,1,1,133,4,1,1,3,0.5,23,3.5,1,L,0.2407894736842105,0.122,0.061,0.122
1,5,9,1,7,22.813999999999982,15,112,2,4,10,9,22.874999999999982,1.8909999999999987,0.244,1.8299999999999987,16,9,3,4,113,10,4,5,6,1,72,6,1,L,0.20243362831858405,0.1891,0.061,0.36599999999999994
1,5,10,1,2,24.09499999999998,20,107,51,55,37,24,29.218999999999976,0.488,2.622999999999998,6.160999999999995,20,2,9,12,136,2,13,23,4,0,19,4.75,1,L,0.2148455882352941,0.244,0.20176923076923076,0.26786956521739125
