Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,success_schema,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,1,14,79.78800000000177,11,320,93,92,52,30,80.03200000000177,2.683999999999998,0.244,4.6969999999999965,15,8,1,12,324,14,1,18,3,0,15,3.75,0,1,L,0.2470123456790123,0.1917142857142857,0.244,0.2609444444444444
1,1,2,1,1,89.4870000000029,11,356,74,76,44,21,89.7310000000029,0.305,3.903999999999997,0.488,14,2,9,3,359,2,18,4,3,0,17,4.25,0,1,L,0.24994707520891363,0.1525,0.21688888888888888,0.122
1,2,3,1,7,46.359999999999964,15,202,7,5,34,61,46.420999999999964,1.646999999999999,7.258999999999994,3.659999999999997,16,9,15,9,203,10,30,15,6,0,21,5.25,0,1,L,0.22867487684729063,0.16469999999999999,0.24196666666666664,0.24399999999999997
1,2,4,1,14,22.142999999999983,13,99,15,89,87,49,43.675999999999966,0.183,0.9149999999999996,0.5489999999999999,20,2,6,3,184,2,7,3,3,0,16,4,0,1,L,0.23736956521739128,0.0915,0.1307142857142857,0.183
1,3,5,1,13,19.580999999999985,18,82,113,115,119,117,19.824999999999985,0.305,0.5489999999999999,3.842999999999997,20,3,3,9,84,3,3,17,2,1,24,2,13,1,L,0.23601190476190473,0.10166666666666667,0.183,0.22605882352941173
1,3,6,1,1,17.628999999999987,20,94,79,83,75,84,17.933999999999987,2.683999999999998,0.122,0.305,20,9,1,2,97,9,1,2,3,1,36,3,"1,13",1,L,0.18488659793814433,0.2982222222222221,0.122,0.1525
1,4,7,1,0,0,0,0,105,3,101,40,2.0739999999999985,0.305,2.3789999999999982,1.585999999999999,9,2,10,8,12,2,12,9,0,0,15,3.75,13,1,L,0.24247499999999997,0.1525,0.19824999999999998,0.17622222222222222
1,4,8,1,13,19.092999999999986,18,91,116,119,109,117,20.800999999999984,0.244,2.1959999999999984,0.8539999999999996,20,2,9,5,101,2,10,5,2,1,24,2,13,1,L,0.20595049504950494,0.122,0.2196,0.1708
1,5,9,1,13,0,0,0,114,110,119,19,0.9149999999999996,1.0369999999999995,2.3789999999999982,2.9279999999999977,4,6,7,6,6,6,12,9,2,0.5,18,3,13,1,L,0.24548780487804875,0.17283333333333334,0.19824999999999998,0.32533333333333325
1,5,10,1,8,12.68799999999999,19,49,3,98,97,100,21.227999999999984,3.3549999999999973,0.061,1.2199999999999993,20,9,1,2,88,12,1,2,2,0.5,18,3,"8,13",1,L,0.2412272727272727,0.2795833333333333,0.061,0.6099999999999997
1,6,11,1,8,31.780999999999974,19,143,103,100,37,107,35.196999999999974,5.550999999999996,0.7319999999999998,3.842999999999997,20,14,5,12,160,26,5,22,2,0.5,17,2.75,"8,13",1,L,0.21998125,0.21349999999999997,0.1464,0.1746818181818182
1,6,12,1,13,1.0369999999999995,8,8,111,16,14,21,1.6469999999999994,14.456999999999988,5.855999999999995,1.524999999999999,12,16,12,6,12,61,22,7,2,0.5,38,5,"13,8",1,L,0.208,0.22921212121212117,0.23137931034482756,0.21785714285714283
1,7,13,1,13,0.305,2,2,117,120,56,111,1.2809999999999995,7.807999999999994,4.7579999999999965,0.7319999999999998,5,16,12,6,5,29,23,6,2,0.5,16,2.5,"13,8",1,L,0.22285333333333332,0.2692413793103448,0.2068695652173913,0.122
1,7,14,1,8,0,0,0,106,41,100,45,0.305,2.8669999999999978,0.061,6.282999999999995,3,11,1,13,3,13,1,34,2,0,14,3.5,13,1,L,0.20991176470588233,0.21034482758620687,0.061,0.1847941176470588
1,8,15,1,13,41.11399999999997,19,196,119,110,74,51,44.895999999999965,1.646999999999999,3.537999999999997,2.0739999999999985,20,6,10,9,221,7,15,12,2,0,11,2.75,0,1,L,0.2031493212669683,0.2352857142857143,0.23586666666666664,0.17283333333333334
1,8,16,1,15,13.602999999999989,17,67,24,13,18,23,13.663999999999989,5.001999999999996,2.439999999999998,1.0979999999999994,18,14,6,6,68,23,9,7,6,1,72,6,15,1,L,0.20094117647058823,0.2174782608695652,0.2711111111111111,0.15685714285714286
1,9,17,1,7,12.32199999999999,19,65,6,7,9,11,13.602999999999989,0.183,1.7689999999999988,0.9149999999999996,20,2,7,4,73,2,9,6,6,1,72,6,"7,15",1,L,0.18634246575342464,0.0915,0.19655555555555554,0.1525
1,9,18,1,15,0.8539999999999996,5,6,17,23,22,24,1.3419999999999996,4.025999999999997,2.3179999999999983,0.183,7,13,10,2,8,20,12,2,6,1,72,6,"15,7",1,L,0.1837625,0.18788,0.19316666666666665,0.0915
