Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,10,32.75699999999998,18,143,14,44,54,91,55.75399999999996,0.488,0.305,0.427,20,4,2,3,246,4,3,3,3,0,18,4.5,6,L,0.2266422764227642,0.122,0.10166666666666667,0.14233333333333334
1,1,2,0,8,26.65699999999998,19,132,116,110,112,27,26.96199999999998,0.061,0.9759999999999995,9.820999999999993,20,1,4,14,133,1,5,36,2,0.5,17,2.75,6,L,0.2027218045112782,0.061,0.19519999999999998,0.2728055555555555
1,2,3,0,6,64.96500000000006,16,298,6,94,92,44,65.02600000000007,3.598999999999997,0.7929999999999997,0.366,17,12,5,1,299,16,5,1,6,0,17,4.25,6,L,0.2174782608695652,0.22493749999999998,0.1586,0.366
1,2,4,0,1,20.983999999999984,20,112,83,81,84,31,22.386999999999983,0.9149999999999996,4.086999999999997,2.2569999999999983,20,4,11,10,116,4,15,15,3,0.5,23,3.5,6,L,0.19299137931034482,0.22875,0.27246666666666663,0.15046666666666667
1,3,5,0,3,24.33899999999998,19,103,33,31,29,25,24.76599999999998,0.366,1.0979999999999994,1.4029999999999991,20,1,5,4,107,1,6,6,5,1,60,5,6,L,0.2314579439252336,0.366,0.183,0.2338333333333333
1,3,6,0,8,40.13799999999997,14,153,113,109,117,37,42.08999999999997,0.9759999999999995,0.6099999999999999,3.598999999999997,20,3,4,10,162,3,4,14,2,0.5,17,2.75,6,L,0.2598148148148148,0.32533333333333325,0.1525,0.25707142857142856
1,4,7,0,5,52.39899999999996,15,232,47,45,11,39,53.86299999999996,1.463999999999999,3.4159999999999973,1.585999999999999,20,6,11,7,237,6,17,8,5,0.5,36,5.25,6,L,0.2272700421940928,0.244,0.2009411764705882,0.19824999999999998
1,4,8,0,8,8.844999999999994,15,48,117,120,111,119,9.271999999999993,0.183,1.1589999999999994,0.7319999999999998,18,2,6,8,51,2,6,8,2,1,24,2,6,L,0.18180392156862746,0.0915,0.19316666666666665,0.0915
1,5,9,0,6,72.46800000000093,11,310,9,3,59,93,73.62700000000093,0.8539999999999996,3.476999999999997,4.818999999999996,17,4,10,11,316,5,16,17,6,0,19,4.75,6,L,0.23299683544303795,0.17079999999999998,0.21731249999999996,0.2834705882352941
1,5,10,0,8,18.726999999999986,20,89,81,111,117,14,41.90699999999997,0.122,1.585999999999999,1.7079999999999989,20,1,3,8,192,1,3,8,2,0,13,3.25,6,L,0.218265625,0.122,0.5286666666666664,0.21349999999999997
2,1,1,0,6,23.48499999999998,17,111,5,1,95,49,23.54599999999998,0.305,19.458999999999985,15.188999999999988,18,2,16,16,112,2,72,65,6,0,19,4.75,6,L,0.21023214285714284,0.1525,0.27026388888888886,0.23367692307692306
2,1,2,0,1,23.97299999999998,14,100,84,81,75,78,24.27799999999998,1.646999999999999,0.8539999999999996,0.427,17,9,5,5,103,10,6,5,3,1,36,3,6,L,0.23570873786407764,0.16469999999999999,0.14233333333333334,0.0854
2,2,3,0,3,26.47399999999998,13,112,31,33,34,35,28.181999999999977,1.3419999999999992,0.5489999999999999,0.6099999999999999,20,5,3,2,120,5,4,2,5,1,60,5,6,L,0.23484999999999998,0.26839999999999997,0.13724999999999998,0.305
2,2,4,0,5,19.885999999999985,16,94,41,44,46,14,21.166999999999984,0.7929999999999997,1.7689999999999988,1.2809999999999993,20,3,5,2,102,3,5,2,5,0.5,36,5.25,6,L,0.20751960784313725,0.2643333333333333,0.35379999999999995,0.6404999999999996
2,3,5,0,1,67.40500000000034,15,295,82,75,54,10,67.58800000000035,0.5489999999999999,1.7079999999999989,0.305,16,5,6,2,296,5,6,2,3,0,16,4,6,L,0.22833783783783781,0.1098,0.2846666666666666,0.1525
2,3,6,0,9,33.549999999999976,17,146,63,65,67,61,34.403999999999975,0.427,4.025999999999997,1.8299999999999987,20,3,13,7,149,3,19,8,4,1,48,4,6,L,0.23089932885906037,0.14233333333333334,0.21189473684210525,0.22875
2,4,7,0,5,38.85699999999997,17,179,44,37,40,45,39.34499999999997,1.585999999999999,0.244,0.183,20,7,2,2,183,7,2,2,5,1,60,5,6,L,0.21499999999999997,0.22657142857142856,0.122,0.0915
2,4,8,0,3,16.713999999999988,17,74,36,34,35,29,17.689999999999987,0.6099999999999999,0.9149999999999996,0.305,20,4,6,2,83,5,6,2,5,1,60,5,6,L,0.21313253012048192,0.122,0.1525,0.1525
2,5,9,0,7,44.468999999999966,12,201,14,23,19,52,44.529999999999966,2.500999999999998,0.122,22.569999999999983,13,7,1,17,202,10,1,87,6,0.5,40,5.5,6,L,0.22044554455445542,0.2500999999999999,0.122,0.2594252873563218
2,5,10,0,9,17.018999999999988,17,83,63,3,65,66,20.312999999999985,15.676999999999987,0.122,0.488,20,17,2,3,92,65,2,3,4,0.5,30,4.5,6,L,0.22079347826086954,0.24118461538461536,0.061,0.16266666666666665
3,1,1,0,6,15.371999999999987,9,63,9,83,45,3,16.40899999999999,16.652999999999988,0.9149999999999996,2.2569999999999983,12,17,6,8,67,68,7,9,6,0,20,5,5,L,0.244910447761194,0.24489705882352938,0.1307142857142857,0.25077777777777777
3,1,2,0,2,17.323999999999987,17,91,49,56,17,60,18.177999999999987,6.709999999999995,4.147999999999997,5.550999999999996,20,12,11,11,97,29,18,21,4,0.5,30,4.5,5,L,0.1874020618556701,0.23137931034482756,0.23044444444444442,0.2643333333333333
3,2,3,0,3,41.72399999999997,19,172,32,34,35,29,42.69999999999997,0.244,0.6709999999999998,1.2809999999999993,20,1,2,6,176,1,3,6,5,1,60,5,5,L,0.24261363636363634,0.244,0.22366666666666665,0.21349999999999997
3,2,4,0,8,44.712999999999965,17,200,110,112,48,120,45.993999999999964,1.9519999999999986,2.2569999999999983,3.1109999999999975,20,4,6,10,208,4,6,12,2,0.5,17,2.75,5,L,0.22112499999999996,0.4879999999999998,0.3761666666666666,0.25925
3,3,5,0,4,53.98499999999996,15,260,98,105,97,63,54.899999999999956,0.6099999999999999,3.781999999999997,2.3789999999999982,19,3,13,6,264,3,26,9,2,0.5,16,2.5,5,L,0.20795454545454545,0.20333333333333334,0.14546153846153845,0.2643333333333333
3,3,6,0,7,46.96999999999996,11,218,13,21,24,16,47.03099999999996,0.061,1.0979999999999994,19.763999999999985,12,1,3,17,219,1,3,80,6,1,72,6,5,L,0.21475342465753422,0.061,0.3659999999999999,0.24704999999999996
3,4,7,0,9,45.627999999999965,10,180,70,72,13,62,49.65399999999996,3.2939999999999974,1.585999999999999,0.061,20,11,7,1,200,16,8,1,4,0.5,30,4.5,5,L,0.24827,0.20587499999999997,0.19824999999999998,0.061
3,4,8,0,6,18.848999999999986,13,91,4,6,9,29,19.702999999999985,2.1959999999999984,0.488,8.051999999999994,15,9,2,12,93,13,2,30,6,0.5,41,5.75,5,L,0.21186021505376343,0.16892307692307693,0.244,0.26839999999999997
4,1,1,0,6,23.54599999999998,14,91,8,6,33,31,23.91199999999998,1.3419999999999992,4.6969999999999965,5.306999999999996,16,6,12,14,93,6,24,28,6,0,22,5.5,6,L,0.2571182795698924,0.22366666666666665,0.19570833333333332,0.18953571428571428
4,1,2,0,10,21.715999999999983,18,98,86,93,88,19,22.325999999999983,1.3419999999999992,0.9149999999999996,5.7949999999999955,20,2,5,13,102,3,5,29,3,0.5,24,3.75,6,L,0.21888235294117644,0.44733333333333325,0.183,0.19982758620689656
