Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,32.08599999999998,17,142,26,27,31,33,32.39099999999998,0.9149999999999996,3.9649999999999967,6.648999999999995,19,3,13,17,144,3,16,32,5,1,60,5,5,L,0.22493749999999998,0.305,0.2478125,0.20778125
1,1,2,0,5,50.75199999999996,17,225,43,38,18,62,51.78899999999996,0.9759999999999995,2.561999999999998,6.099999999999995,20,4,7,12,233,5,9,23,5,0,20,5,5,L,0.22227038626609438,0.19519999999999998,0.28466666666666657,0.2652173913043478
1,2,3,0,4,27.205999999999978,19,117,103,107,105,9,27.754999999999978,0.6099999999999999,1.7079999999999989,2.0739999999999985,20,4,9,8,122,4,12,9,2,0.5,18,3,5,L,0.22749999999999998,0.1525,0.14233333333333334,0.23044444444444442
1,2,4,0,1,19.031999999999986,20,100,83,84,14,74,22.142999999999983,0.305,7.319999999999994,0.305,20,2,13,3,114,2,29,3,3,0.5,24,3.75,5,L,0.19423684210526315,0.1525,0.25241379310344825,0.10166666666666667
1,3,5,0,1,26.59599999999998,20,124,35,58,76,74,32.87899999999998,9.088999999999993,1.0979999999999994,0.6099999999999999,20,17,4,3,153,37,5,3,3,0,15,3.75,5,L,0.2148954248366013,0.24564864864864863,0.21959999999999996,0.20333333333333334
1,3,6,0,10,41.60199999999997,12,191,14,92,91,20,60.51199999999996,1.2809999999999993,2.0129999999999986,1.0369999999999995,20,7,5,4,266,8,5,4,3,0,18,4.5,5,L,0.22748872180451124,0.160125,0.4025999999999999,0.25925
1,4,7,0,8,23.362999999999982,19,118,112,73,84,83,24.33899999999998,11.467999999999991,2.439999999999998,4.879999999999996,20,16,13,14,124,56,17,33,2,0.5,20,2.75,5,L,0.19628225806451613,0.20478571428571427,0.14352941176470588,0.1478787878787879
1,4,8,0,4,15.432999999999987,19,85,103,36,104,3,18.543999999999986,19.092999999999986,2.2569999999999983,31.780999999999974,20,16,9,16,95,85,10,136,2,0,15,3.75,5,L,0.19519999999999998,0.2246235294117647,0.22569999999999998,0.23368382352941175
2,1,1,0,4,16.16499999999999,17,75,102,100,8,106,17.567999999999987,0.6099999999999999,6.8929999999999945,0.6709999999999998,20,4,15,5,82,4,30,5,2,0.5,18,3,6,L,0.2142439024390244,0.1525,0.22976666666666665,0.13419999999999999
2,1,2,0,7,18.665999999999986,20,101,22,18,16,21,20.983999999999984,0.122,5.428999999999996,0.061,20,1,12,1,111,1,19,1,6,1,72,6,6,L,0.18904504504504505,0.122,0.2857368421052631,0.061
2,2,3,0,8,57.461999999999954,14,220,119,110,115,43,58.25499999999995,0.305,1.646999999999999,1.9519999999999986,18,1,8,6,224,1,8,10,2,0.5,17,2.75,6,L,0.26006696428571424,0.305,0.205875,0.19519999999999998
2,2,4,0,3,19.946999999999985,19,107,26,1,31,55,21.227999999999984,5.367999999999996,4.269999999999997,8.295999999999994,20,12,11,16,113,21,16,30,5,0,20,5,6,L,0.18785840707964602,0.2556190476190476,0.266875,0.2765333333333333
2,3,5,0,7,44.041999999999966,14,195,23,20,18,19,45.139999999999965,2.744999999999998,2.622999999999998,1.1589999999999994,20,8,9,3,202,8,11,4,6,1,72,6,6,L,0.22346534653465344,0.3431249999999999,0.23845454545454545,0.28974999999999995
2,3,6,0,1,20.678999999999984,19,89,78,82,26,9,22.691999999999982,0.6709999999999998,12.68799999999999,6.404999999999995,20,2,16,16,97,2,45,27,3,0,17,4.25,6,L,0.23393814432989687,0.3354999999999999,0.2819555555555555,0.2372222222222222
2,4,7,0,3,18.726999999999986,17,88,36,7,30,1,21.654999999999983,12.50499999999999,0.183,11.101999999999991,20,13,1,16,98,36,1,50,5,0,22,5.5,6,L,0.22096938775510203,0.34736111111111106,0.183,0.22204
2,4,8,0,5,16.40899999999999,18,82,44,21,93,19,16.469999999999988,12.50499999999999,7.8689999999999936,3.720999999999997,19,15,15,14,83,48,39,18,5,0,20,5,6,L,0.19843373493975902,0.2605208333333333,0.20176923076923076,0.2067222222222222
2,5,9,0,10,13.17599999999999,20,68,11,12,5,6,37.33199999999997,0.7319999999999998,2.2569999999999983,10.796999999999992,20,4,9,17,171,4,10,47,3,1,72,6,6,L,0.21831578947368419,0.183,0.22569999999999996,0.22972340425531915
