schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.2,replaced,47.54525908,18.83542809,0.06844444444444445,1,1
7,6,0.2,same,50.91984497,22.17450084,0.06844444444444445,1,1
3,5,0.3,same,38.11269084,9.358035718,0.06844444444444445,1,1
5,5,0.3,replaced,29.885084,10.26733847,0.06844444444444445,1,1
2,4,0.4,same,26.22740557,11.11918442,0.06844444444444445,1,1
9,4,0.4,replaced,29.58977965,10.61967136,0.06844444444444445,1,1
1,3,0.6,same,24.40043609,5.181766043,0.06844444444444445,1,1
10,3,0.6,replaced,21.77354907,3.720593243,0.06844444444444445,1,1
4,2,0.9,replaced,12.30300888,4.169477774,0.06844444444444445,1,1
8,2,0.9,same,22.92546818,17.18497774,0.06844444444444445,1,1
6,6,0.36923172134325355,replaced,47.54525908,18.83542809,0.30175869312599146,2,1
7,6,0.3331171056214186,same,50.91984497,22.17450084,0.24758676954323902,2,1
3,5,0.43742639662947114,same,38.11269084,9.358035718,0.2540507060553178,2,1
5,5,0.4491720225549942,replaced,29.885084,10.26733847,0.2716691449436025,2,1
2,4,0.5069694809773626,same,26.22740557,11.11918442,0.20836533257715503,2,1
9,4,0.5158439326389153,replaced,29.58977965,10.61967136,0.22167701006948393,2,1
1,3,0.6920402199065934,same,24.40043609,5.181766043,0.1859714409710011,2,1
10,3,0.7052047270019896,replaced,21.77354907,3.720593243,0.20571820161409549,2,1
4,2,0.9229033556294065,replaced,12.30300888,4.169477774,0.08226614455522091,2,1
8,2,0.9183784208928955,same,22.92546818,17.18497774,0.07547874245045429,2,1
6,6,0.36923172134325355,replaced,47.54525908,18.83542809,0.30175869312599146,3,1
7,6,0.3331171056214186,same,50.91984497,22.17450084,0.24758676954323902,3,1
3,5,0.5094812014958148,same,38.11269084,9.358035718,0.285917701538238,3,1
5,5,0.4491720225549942,replaced,29.885084,10.26733847,0.2716691449436025,3,1
2,4,0.5069694809773626,same,26.22740557,11.11918442,0.20836533257715503,3,1
9,4,0.5158439326389153,replaced,29.58977965,10.61967136,0.22167701006948393,3,1
1,3,0.6920402199065934,same,24.40043609,5.181766043,0.1859714409710011,3,1
10,3,0.7052047270019896,replaced,21.77354907,3.720593243,0.20571820161409549,3,1
4,2,0.9229033556294065,replaced,12.30300888,4.169477774,0.08226614455522091,3,1
8,2,0.9183784208928955,same,22.92546818,17.18497774,0.07547874245045429,3,1
6,6,0.36923172134325355,replaced,47.54525908,18.83542809,0.30175869312599146,4,1
7,6,0.2759187485184938,same,50.91984497,22.17450084,0.25910827433465455,4,1
3,5,0.5094812014958148,same,38.11269084,9.358035718,0.285917701538238,4,1
5,5,0.372205153652351,replaced,29.885084,10.26733847,0.30561870481448655,4,1
2,4,0.5069694809773626,same,26.22740557,11.11918442,0.20836533257715503,4,1
9,4,0.40371896934259266,replaced,29.58977965,10.61967136,0.32336135199312266,4,1
1,3,0.6920402199065934,same,24.40043609,5.181766043,0.1859714409710011,4,1
10,3,0.7052047270019896,replaced,21.77354907,3.720593243,0.20571820161409549,4,1
4,2,0.9229033556294065,replaced,12.30300888,4.169477774,0.08226614455522091,4,1
8,2,0.9183784208928955,same,22.92546818,17.18497774,0.07547874245045429,4,1
6,6,0.5082231764460066,replaced,47.54525908,18.83542809,0.41971826784232347,5,1
7,6,0.49984482746051356,same,50.91984497,22.17450084,0.5172649104472877,5,1
3,5,0.6175736865972828,same,38.11269084,9.358035718,0.3622811187289687,5,1
5,5,0.6404307798013955,replaced,29.885084,10.26733847,0.6162715325937071,5,1
2,4,0.5646620354739657,same,26.22740557,11.11918442,0.2323945645489131,5,1
9,4,0.4595519541180027,replaced,29.58977965,10.61967136,0.3101024235583009,5,1
1,3,0.7632869337740518,same,24.40043609,5.181766043,0.23705007948088833,5,1
10,3,0.756540619823383,replaced,21.77354907,3.720593243,0.22100658036195714,5,1
4,2,0.9288520271683529,replaced,12.30300888,4.169477774,0.06650930849707418,5,1
8,2,0.9469937161824579,same,22.92546818,17.18497774,0.09575806264966155,5,1
6,6,0.6077941974284429,replaced,47.54525908,18.83542809,0.4431593189632809,6,1
7,6,0.49984482746051356,same,50.91984497,22.17450084,0.5172649104472877,6,1
3,5,0.6175736865972828,same,38.11269084,9.358035718,0.3622811187289687,6,1
5,5,0.6404307798013955,replaced,29.885084,10.26733847,0.6162715325937071,6,1
2,4,0.5646620354739657,same,26.22740557,11.11918442,0.2323945645489131,6,1
9,4,0.4595519541180027,replaced,29.58977965,10.61967136,0.3101024235583009,6,1
1,3,0.7632869337740518,same,24.40043609,5.181766043,0.23705007948088833,6,1
10,3,0.756540619823383,replaced,21.77354907,3.720593243,0.22100658036195714,6,1
4,2,0.835999165464185,replaced,12.30300888,4.169477774,0.18583580850420378,6,1
8,2,0.9469937161824579,same,22.92546818,17.18497774,0.09575806264966155,6,1
6,6,0.6077941974284429,replaced,47.54525908,18.83542809,0.4431593189632809,7,1
7,6,0.7263272908785654,same,50.91984497,22.17450084,0.7018091324401792,7,1
3,5,0.6175736865972828,same,38.11269084,9.358035718,0.3622811187289687,7,1
