,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
758,35,14,28,20,1,3,5,138,0,2,8,0.29676259,1.026,0.585,0.124,4,4,4,4,41.25,1.026,1.755,1.116,4,0.75,48,0,-1,1,LH
759,35,15,29,20,6,5,2,84,5,6,1,0.289129412,0.344333333,0.242857143,0.6725,5,5,5,5,24.576,2.066,1.7,1.345,5,0.75,60,0,-1,1,LH
760,35,15,30,20,5,4,3,94,4,3,2,0.3614,0.3502,0.2035,0.362333333,4,4,4,6,34.333,1.751,0.814,1.087,4.5,0.75,30,0,-1,1,LH
761,35,16,31,20,5,6,3,86,5,9,2,0.361977011,0.3085,0.1912,0.536666667,3,3,3,3,31.492,1.851,1.912,1.61,3,1,36,0,-1,1,LH
762,36,1,1,19,9,9,6,68,13,9,8,0.339318841,0.2675,0.3725,0.273111111,2,2,2,2,23.413,3.745,3.725,2.458,2,0.5,24,0,-1,0,LH
763,36,1,2,15,4,4,5,38,20,14,42,0.456307692,0.281333333,0.511066667,0.237813953,4,6,4,6,17.796,5.908,7.666,10.226,5,0.5,20,0,-1,0,LH
764,36,2,3,20,7,7,9,89,10,8,19,0.300844444,0.393272727,0.405111111,0.22375,3,3,3,2,27.076,4.326,3.646,4.475,2.75,0.75,20,0,-1,0,LH
765,36,2,4,7,4,4,1,43,26,13,0,0.342090909,0.13062963,0.0965,0.897,2,2,2,2,15.052,3.527,1.351,0.897,2,0.75,24,0,-1,0,LH
766,36,3,5,20,6,18,8,89,12,25,24,0.356166667,0.476692308,0.405769231,0.40688,4,4,4,3,32.055,6.197,10.55,10.172,3.75,0.25,27,0,-1,0,LH
767,36,3,6,4,4,4,2,33,6,11,11,0.463382353,0.540142857,0.747833333,0.183,3,3,2,2,15.755,3.781,8.974,2.196,2.5,0.25,10,0,-1,0,LH
768,36,4,7,20,9,14,8,42,8,21,12,0.423767442,0.411777778,0.387045455,0.322153846,5,5,5,5,18.222,3.706,8.515,4.188,5,0.75,60,0,-1,0,LH
769,36,4,8,13,9,6,6,42,17,13,8,0.314372093,0.386666667,0.513428571,0.748777778,6,5,5,5,13.518,6.96,7.188,6.739,5.25,0.75,36,0,-1,0,LH
770,36,5,9,18,13,10,15,39,18,18,21,0.3571,0.290578947,0.276578947,0.325772727,4,4,6,6,14.284,5.521,5.255,7.167,5,0,20,0,-1,0,LH
771,36,5,10,16,10,8,8,49,42,37,21,0.45958,0.184697674,0.290815789,0.351181818,6,6,5,5,22.979,7.942,11.051,7.726,5.5,0,22,0,-1,0,LH
772,36,6,11,20,7,13,12,57,32,15,14,0.299431034,0.254818182,0.240875,0.3548,6,6,6,6,17.367,8.409,3.854,5.322,6,1,72,0,-1,0,LH
773,36,6,12,14,17,3,3,34,135,6,11,0.396142857,0.257566176,0.216714286,0.074916667,2,2,2,2,13.865,35.029,1.517,0.899,2,1,24,0,-1,0,LH
774,36,7,13,20,9,13,12,116,11,29,26,0.357871795,0.42425,0.3558,0.449481481,5,5,5,6,41.871,5.091,10.674,12.136,5.25,0.5,36,0,-1,1,LH
775,36,7,14,13,0,0,0,43,0,0,0,0.569340909,9.552,6.966,2.089,6,5,6,6,25.051,9.552,6.966,2.089,5.75,0.5,41,0,-1,1,LH
776,36,8,15,20,5,7,4,91,5,9,3,0.346902174,0.4585,0.3168,0.56875,3,3,3,3,31.915,2.751,3.168,2.275,3,1,36,0,-1,1,LH
777,36,8,16,16,10,8,4,58,16,12,12,0.394,0.393470588,0.606846154,0.115461538,4,4,4,4,23.246,6.689,7.889,1.501,4,1,48,0,-1,1,LH
778,36,9,17,19,14,15,3,50,23,45,8,0.294176471,0.25075,0.323717391,0.399,4,4,5,5,15.003,6.018,14.891,3.591,4.5,0.5,18,0,-1,1,LH
779,36,9,18,9,4,4,4,36,6,7,6,0.339756757,0.354571429,0.312,0.211857143,4,4,4,4,12.571,2.482,2.496,1.483,4,0.5,48,0,-1,1,LH
780,36,10,19,20,3,10,12,62,2,19,15,0.282634921,0.959333333,0.27285,0.324625,5,5,5,5,17.806,2.878,5.457,5.194,5,1,60,0,-1,1,LH
781,36,10,20,17,3,0,16,71,7,0,70,0.276625,0.300375,1.929,0.263887324,5,5,5,5,19.917,2.403,1.929,18.736,5,1,60,0,-1,1,LH
