,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
481,62,3,6,20,4,3,12,155,4,2,34,0.698275641,0.3398,0.831333333,0.639085714,6,6,6,6,108.931,1.699,2.494,22.368,6,0.5,72,0,-1,0,Lc
482,62,4,7,14,7,4,16,82,7,3,58,0.662277108,0.089,0.316,0.446372881,3,3,3,3,54.969,0.712,1.264,26.336,3,0.5,36,0,-1,1,Lc
483,62,4,8,20,6,18,14,207,15,38,39,0.614980769,0.189,0.896615385,0.470525,5,5,3,2,127.916,3.024,34.968,18.821,3.75,0.5,15,0,-1,1,Lc
484,62,5,9,20,2,6,14,114,2,6,34,0.656991304,0.385,0.258285714,0.314771429,4,4,2,4,75.554,1.155,1.808,11.017,3.5,0.75,26,0,-1,1,Lc
485,62,5,10,20,4,4,4,146,9,4,4,0.671265306,0.1704,0.2512,0.238,2,2,2,2,98.676,1.704,1.256,1.19,2,0.75,24,0,-1,1,Lc
486,62,6,11,20,7,4,19,173,9,7,88,0.673798851,0.3308,0.253375,0.644685393,3,3,2,4,117.241,3.308,2.027,57.377,3,0.5,12,0,-1,1,Lc
487,62,6,12,19,12,8,6,99,31,8,12,0.64132,0.3685,0.521222222,0.093307692,3,3,3,3,64.132,11.792,4.691,1.213,3,0.5,36,0,-1,1,Lc
488,62,7,13,20,6,9,12,128,5,18,19,0.754697674,0.846666667,0.436736842,0.2964,2,5,3,2,97.356,5.08,8.298,5.928,3,0.25,12,0,-1,1,Lc
489,62,7,14,6,2,16,14,10,3,35,53,0.832,0.274,1.083583333,0.24187037,4,4,5,4,9.152,1.096,39.009,13.061,4.25,0.25,29,0,-1,1,Lc
490,62,8,16,15,6,2,6,78,6,1,12,0.917417722,0.317428571,0.575,0.784076923,2,2,3,2,72.476,2.222,1.15,10.193,2.25,0.5,15,0,-1,1,Lc
