schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.2,replaced,47.54525908,18.83542809,0.06844444444444445,1,1
7,6,0.2,same,50.91984497,22.17450084,0.06844444444444445,1,1
3,5,0.3,same,38.11269084,9.358035718,0.06844444444444445,1,1
5,5,0.3,replaced,29.885084,10.26733847,0.06844444444444445,1,1
2,4,0.4,same,26.22740557,11.11918442,0.06844444444444445,1,1
9,4,0.4,replaced,29.58977965,10.61967136,0.06844444444444445,1,1
1,3,0.6,same,24.40043609,5.181766043,0.06844444444444445,1,1
10,3,0.6,replaced,21.77354907,3.720593243,0.06844444444444445,1,1
4,2,0.9,replaced,12.30300888,4.169477774,0.06844444444444445,1,1
8,2,0.9,same,22.92546818,17.18497774,0.06844444444444445,1,1
6,6,0.34484453596268627,replaced,47.54525908,18.83542809,0.26517791505514055,2,1
7,6,0.381558865386966,same,50.91984497,22.17450084,0.3202494091915601,2,1
3,5,0.42879525035790766,same,38.11269084,9.358035718,0.2411039866479726,2,1
5,5,0.4436754752808787,replaced,29.885084,10.26733847,0.26342432403242916,2,1
2,4,0.5060981994684669,same,26.22740557,11.11918442,0.20705841031381136,2,1
9,4,0.5327335717088489,replaced,29.58977965,10.61967136,0.24701146867438442,2,1
1,3,0.6876284741172437,same,24.40043609,5.181766043,0.17935382228697666,2,1
10,3,0.6543005674986611,replaced,21.77354907,3.720593243,0.12936196235910266,2,1
4,2,0.9196880047921667,replaced,12.30300888,4.169477774,0.07744311829936114,2,1
8,2,0.9080675848929258,same,22.92546818,17.18497774,0.06001248845049975,2,1
6,6,0.34484453596268627,replaced,47.54525908,18.83542809,0.26517791505514055,3,1
7,6,0.381558865386966,same,50.91984497,22.17450084,0.3202494091915601,3,1
3,5,0.42879525035790766,same,38.11269084,9.358035718,0.2411039866479726,3,1
5,5,0.4436754752808787,replaced,29.885084,10.26733847,0.26342432403242916,3,1
2,4,0.523178240331932,same,26.22740557,11.11918442,0.1705609485148656,3,1
9,4,0.5327335717088489,replaced,29.58977965,10.61967136,0.24701146867438442,3,1
1,3,0.6876284741172437,same,24.40043609,5.181766043,0.17935382228697666,3,1
10,3,0.6543005674986611,replaced,21.77354907,3.720593243,0.12936196235910266,3,1
4,2,0.9196880047921667,replaced,12.30300888,4.169477774,0.07744311829936114,3,1
8,2,0.8183823568856465,same,22.92546818,17.18497774,0.17653658392626875,3,1
6,6,0.34484453596268627,replaced,47.54525908,18.83542809,0.26517791505514055,4,1
7,6,0.381558865386966,same,50.91984497,22.17450084,0.3202494091915601,4,1
3,5,0.42879525035790766,same,38.11269084,9.358035718,0.2411039866479726,4,1
5,5,0.4436754752808787,replaced,29.885084,10.26733847,0.26342432403242916,4,1
2,4,0.523178240331932,same,26.22740557,11.11918442,0.1705609485148656,4,1
9,4,0.5327335717088489,replaced,29.58977965,10.61967136,0.24701146867438442,4,1
1,3,0.7277013202286418,same,24.40043609,5.181766043,0.18565694476798078,4,1
10,3,0.6543005674986611,replaced,21.77354907,3.720593243,0.12936196235910266,4,1
4,2,0.9196880047921667,replaced,12.30300888,4.169477774,0.07744311829936114,4,1
8,2,0.8183823568856465,same,22.92546818,17.18497774,0.17653658392626875,4,1
6,6,0.42221918726491364,replaced,47.54525908,18.83542809,0.3016865174919395,5,1
7,6,0.4707986556058996,same,50.91984497,22.17450084,0.3580342717624925,5,1
3,5,0.5638459069468017,same,38.11269084,9.358035718,0.3713487755369218,5,1
5,5,0.44800056087694673,replaced,29.885084,10.26733847,0.19088465521680248,5,1
2,4,0.5541624067680488,same,26.22740557,11.11918442,0.16586891361458111,5,1
9,4,0.5939314614856218,replaced,29.58977965,10.61967136,0.2647048627372283,5,1
1,3,0.7755387594938083,same,24.40043609,5.181766043,0.2017160202353364,5,1
10,3,0.7296032426101433,replaced,21.77354907,3.720593243,0.2035073863185953,5,1
4,2,0.9270574152427706,replaced,12.30300888,4.169477774,0.06526429848545859,5,1
8,2,0.8496538449694919,same,22.92546818,17.18497774,0.1704828408741562,5,1
6,6,0.24376776879326284,replaced,47.54525908,18.83542809,0.47885768995183386,6,1
7,6,0.4707986556058996,same,50.91984497,22.17450084,0.3580342717624925,6,1
3,5,0.5638459069468017,same,38.11269084,9.358035718,0.3713487755369218,6,1
5,5,0.35496640866726975,replaced,29.885084,10.26733847,0.2731704869662772,6,1
2,4,0.5541624067680488,same,26.22740557,11.11918442,0.16586891361458111,6,1
9,4,0.5939314614856218,replaced,29.58977965,10.61967136,0.2647048627372283,6,1
1,3,0.7755387594938083,same,24.40043609,5.181766043,0.2017160202353364,6,1
10,3,0.7296032426101433,replaced,21.77354907,3.720593243,0.2035073863185953,6,1
4,2,0.9270574152427706,replaced,12.30300888,4.169477774,0.06526429848545859,6,1
8,2,0.6693689007585103,same,22.92546818,17.18497774,0.3897654049283818,6,1
6,6,0.24376776879326284,replaced,47.54525908,18.83542809,0.47885768995183386,7,1
7,6,0.4707986556058996,same,50.91984497,22.17450084,0.3580342717624925,7,1
3,5,0.5462376069305235,same,38.11269084,9.358035718,0.28635659290026266,7,1
