Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,1,11,26.59599999999998,17,116,61,71,64,62,27.998999999999977,0.061,4.086999999999997,5.245999999999996,20,1,14,12,122,1,22,24,4,1,48,4,1,L,0.22949999999999998,0.061,0.18577272727272726,0.21858333333333332
1,1,2,1,12,21.898999999999983,16,98,39,47,44,14,23.118999999999982,0.9759999999999995,8.112999999999994,3.4159999999999973,20,4,15,9,103,4,37,15,5,0.5,36,5.25,1,L,0.22445631067961164,0.244,0.21927027027027027,0.22773333333333332
1,2,3,1,11,13.11499999999999,19,75,65,70,63,40,20.373999999999985,2.8669999999999978,0.122,0.244,20,8,1,1,99,9,1,1,4,0.5,29,4.25,1,L,0.20579797979797979,0.3185555555555555,0.122,0.244
1,2,4,1,15,29.706999999999976,20,142,16,21,20,22,31.780999999999974,2.1959999999999984,1.7689999999999988,8.966999999999993,20,4,8,16,150,4,8,47,6,1,72,6,1,L,0.2118733333333333,0.5489999999999998,0.221125,0.19078723404255318
1,3,5,1,12,26.16899999999998,19,117,39,46,43,9,27.693999999999978,4.269999999999997,2.744999999999998,12.32199999999999,20,11,8,16,121,14,9,56,5,0.5,36,5.25,1,L,0.2288760330578512,0.30499999999999994,0.305,0.22003571428571428
1,3,6,1,3,18.116999999999987,20,85,15,75,79,76,90.09700000000086,0.061,0.061,0.061,20,1,1,1,403,1,1,1,5,0.5,24,3.75,1,L,0.22356575682382132,0.061,0.061,0.061
1,4,7,1,7,10.125999999999992,18,50,1,3,12,5,10.735999999999992,0.244,1.0979999999999994,2.1959999999999984,20,3,6,6,54,3,6,6,6,1,72,6,1,L,0.1988148148148148,0.08133333333333333,0.183,0.36599999999999994
1,4,8,1,14,29.340999999999976,15,120,15,62,90,91,70.75999999999995,0.183,0.244,0.061,20,2,2,1,297,2,2,1,3,0,16,4,1,L,0.23824915824915824,0.0915,0.122,0.061
1,5,9,1,12,16.774999999999988,19,85,48,43,38,9,22.020999999999983,2.561999999999998,4.208999999999997,3.3549999999999973,20,7,14,7,102,8,22,9,5,0.5,36,5.25,1,L,0.21589215686274507,0.32024999999999987,0.1913181818181818,0.3727777777777777
1,5,10,1,15,10.796999999999992,20,60,21,14,16,79,11.83399999999999,0.122,7.380999999999994,7.380999999999994,20,1,13,15,68,1,29,28,6,0.5,39,5.25,1,L,0.17402941176470588,0.122,0.2545172413793103,0.2636071428571428
1,6,11,1,13,22.203999999999983,20,103,66,116,119,90,42.76099999999997,2.0739999999999985,0.6709999999999998,0.183,20,5,4,1,186,7,4,1,2,0,11,2.75,1,L,0.22989784946236558,0.2962857142857142,0.16775,0.183
1,6,12,1,2,19.702999999999985,20,92,55,53,81,37,20.983999999999984,2.805999999999998,3.903999999999997,12.68799999999999,20,13,12,17,98,16,21,49,4,0,16,4,1,L,0.21412244897959182,0.175375,0.1859047619047619,0.25893877551020406
1,7,13,1,3,13.907999999999989,20,68,33,25,30,28,14.578999999999988,1.646999999999999,0.366,0.488,20,8,3,2,73,8,3,2,5,1,60,5,1,L,0.19971232876712328,0.205875,0.122,0.244
1,7,14,1,1,12.19999999999999,19,62,77,67,2,41,34.403999999999975,3.9649999999999967,1.524999999999999,0.183,20,11,4,1,154,14,5,1,3,0,18,4.5,1,L,0.22340259740259738,0.28321428571428564,0.305,0.183
1,8,15,1,7,23.362999999999982,20,113,9,2,6,7,27.08399999999998,1.2809999999999993,0.5489999999999999,6.282999999999995,20,4,4,13,130,5,4,28,6,1,72,6,1,L,0.20833846153846153,0.25619999999999993,0.13724999999999998,0.22439285714285712
1,8,16,1,15,27.754999999999978,20,142,20,14,16,13,29.096999999999976,3.598999999999997,6.8319999999999945,1.7689999999999988,20,11,16,8,148,16,28,10,6,1,72,6,1,L,0.19660135135135134,0.22493749999999998,0.24399999999999997,0.1769
1,9,17,1,15,9.576999999999993,18,45,15,16,22,18,26.900999999999982,5.367999999999996,0.9149999999999996,3.842999999999997,20,16,4,11,114,22,4,12,6,1,72,6,1,L,0.23597368421052628,0.24399999999999997,0.22875,0.3202499999999999
1,9,18,1,1,13.11499999999999,14,71,83,78,61,6,13.724999999999989,7.380999999999994,5.7339999999999955,3.537999999999997,18,17,14,13,75,41,25,19,3,0,16,4,1,L,0.183,0.18002439024390243,0.22935999999999998,0.18621052631578947
1,10,19,1,12,25.61999999999998,18,120,43,55,85,116,25.92499999999998,68.62500000000048,3.2939999999999974,3.720999999999997,20,19,8,12,122,251,14,17,5,0,14,3.5,1,L,0.2125,0.273406374501992,0.23528571428571426,0.21888235294117644
1,10,20,1,11,23.362999999999982,20,108,69,10,67,100,25.74199999999998,7.807999999999994,0.061,3.2329999999999974,20,14,1,11,118,31,1,17,4,0,16,4,1,L,0.21815254237288134,0.25187096774193546,0.061,0.19017647058823528
1,11,21,1,7,16.896999999999988,19,81,6,11,10,66,16.957999999999988,3.842999999999997,5.672999999999996,1.9519999999999986,20,12,13,7,82,17,26,8,6,0.5,40,5.5,1,L,0.20680487804878048,0.22605882352941176,0.21819230769230766,0.24399999999999994
1,11,22,1,2,9.576999999999993,18,50,58,57,75,113,13.05399999999999,4.086999999999997,4.513999999999997,7.441999999999994,20,12,15,16,62,16,27,33,4,0,13,3.25,1,L,0.21054838709677418,0.2554375,0.1671851851851852,0.22551515151515147
2,1,1,1,8,15.066999999999988,20,70,105,101,106,63,15.432999999999987,10.003999999999992,4.147999999999997,1.7689999999999988,20,17,12,6,72,48,21,8,2,0.5,16,2.5,1,L,0.21434722222222222,0.20841666666666664,0.19752380952380952,0.22112499999999996
2,1,2,1,15,16.22599999999999,20,78,15,13,17,22,17.872999999999987,1.585999999999999,4.513999999999997,2.0739999999999985,20,8,13,7,82,8,27,9,6,1,72,6,1,L,0.2179634146341463,0.19824999999999998,0.1671851851851852,0.23044444444444442
2,2,3,1,7,8.173999999999994,17,50,2,4,5,9,12.443999999999992,1.3419999999999992,13.05399999999999,1.1589999999999994,20,7,17,8,68,7,52,8,6,1,72,6,1,L,0.183,0.1917142857142857,0.2510384615384615,0.144875
2,2,4,1,13,16.04299999999999,18,76,118,73,120,64,16.774999999999988,17.567999999999987,0.8539999999999996,11.101999999999991,20,17,4,14,81,82,4,41,2,0,11,2.75,1,L,0.20709876543209876,0.21424390243902436,0.2135,0.270780487804878
2,3,5,1,14,35.684999999999974,20,155,94,85,56,38,35.867999999999974,0.9759999999999995,5.550999999999996,4.513999999999997,20,5,14,12,157,6,18,21,3,0,15,3.75,1,L,0.22845859872611463,0.16266666666666665,0.3083888888888889,0.21495238095238092
2,3,6,1,13,28.303999999999977,20,128,72,118,111,120,38.67399999999997,0.6709999999999998,0.183,3.720999999999997,20,3,1,10,177,3,1,14,2,0.5,16,2.5,1,L,0.21849717514124292,0.22366666666666665,0.183,0.26578571428571424
2,4,7,1,2,21.471999999999984,20,104,24,57,26,52,41.17499999999997,0.8539999999999996,3.842999999999997,7.990999999999993,20,3,13,14,178,4,22,36,4,0,19,4.75,1,L,0.2313202247191011,0.2135,0.1746818181818182,0.2219722222222222
2,4,8,1,13,11.101999999999991,19,54,1,70,41,120,156.34300000000934,0.061,0.9759999999999995,0.5489999999999999,20,1,4,3,631,1,5,3,2,0,17,4.25,1,L,0.24777020602218697,0.061,0.19519999999999998,0.183
2,5,9,1,3,21.105999999999984,20,89,29,35,31,88,21.227999999999984,3.598999999999997,1.4029999999999991,1.646999999999999,20,10,10,7,90,12,13,10,5,0.5,33,4.5,1,L,0.23586666666666664,0.2999166666666666,0.10792307692307693,0.16469999999999999
2,5,10,1,12,17.506999999999987,19,86,39,44,60,47,20.129999999999985,0.061,2.9279999999999977,1.7079999999999989,20,1,10,8,99,1,13,8,5,0.5,34,4.75,1,L,0.20333333333333334,0.061,0.22523076923076923,0.2135
2,6,11,1,13,20.617999999999984,20,106,109,117,111,116,23.240999999999982,0.183,0.9149999999999996,0.061,20,2,3,1,114,2,4,1,2,1,24,2,1,L,0.20386842105263156,0.0915,0.22875,0.061
2,6,12,1,2,27.388999999999978,18,139,59,49,60,108,32.20799999999998,1.2199999999999993,0.7929999999999997,8.539999999999994,20,5,3,13,158,5,3,32,4,0.5,26,3.5,1,L,0.20384810126582276,0.244,0.2643333333333333,0.266875
2,7,13,1,2,17.079999999999988,20,85,56,15,16,52,17.201999999999988,13.785999999999989,1.585999999999999,0.061,20,17,6,1,86,53,7,1,4,0,20,5,1,L,0.20002325581395347,0.26011320754716977,0.22657142857142856,0.061
2,7,14,1,7,15.798999999999987,20,74,5,12,7,9,17.079999999999988,0.183,1.585999999999999,3.1719999999999975,20,2,6,13,77,2,8,14,6,1,72,6,1,L,0.2218181818181818,0.0915,0.19824999999999998,0.22657142857142856
2,8,15,1,1,26.59599999999998,15,114,76,78,62,83,27.14499999999998,0.6099999999999999,3.659999999999997,1.2809999999999993,18,4,10,6,117,4,15,7,3,0.5,22,3.25,1,L,0.23200854700854698,0.1525,0.24399999999999997,0.183
2,8,16,1,8,29.462999999999976,17,137,102,100,104,40,30.743999999999975,0.9759999999999995,10.003999999999992,3.0499999999999976,20,4,15,9,140,4,44,10,2,0.5,17,2.75,1,L,0.21959999999999996,0.244,0.22736363636363635,0.30499999999999994
2,9,17,1,1,21.349999999999984,19,91,81,77,73,84,23.362999999999982,0.427,0.061,5.062999999999996,20,2,1,12,103,2,1,18,3,1,36,3,1,L,0.2268252427184466,0.2135,0.061,0.28127777777777774
2,9,18,1,14,29.706999999999976,19,140,1,28,92,85,576.998999999953,0.061,0.061,0.061,20,1,1,1,2358,1,1,1,3,0,17,4.25,1,L,0.2446984732824427,0.061,0.061,0.061
3,1,1,1,2,20.495999999999984,20,101,52,55,25,51,22.020999999999983,4.269999999999997,8.051999999999994,2.561999999999998,20,13,16,9,105,19,30,14,4,0.5,29,4.25,1,L,0.2097238095238095,0.22473684210526312,0.26839999999999997,0.183
