schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
7,6,0.37499048442991606,same,50.91984497,22.17450084,0.42604939314251683,1,1
15,6,0.36000000000000004,new,49.521308929999996,32.19337558,0.04928000000000002,1,1
3,5,0.4885424537488309,same,38.11269084,9.358035718,0.5866321227969049,1,1
12,5,0.44,new,26.4393834,10.82212773,0.04928000000000002,1,1
2,4,0.7076565123079614,same,26.22740557,11.11918442,0.15222422103470173,1,1
11,4,0.52,new,21.04766581,12.20478566,0.04928000000000002,1,1
1,3,0.8753156769205814,same,24.40043609,5.181766043,0.15739203564641918,1,1
14,3,0.6799999999999999,new,19.82444596,5.696560695,0.04928000000000002,1,1
8,2,0.6576767319216439,same,22.92546818,17.18497774,0.415624109409484,1,1
13,2,0.9200000000000002,new,18.27657794,14.90293958,0.04928000000000002,1,1
7,6,0.5464574484603332,same,50.91984497,22.17450084,0.5554350212453874,2,1
15,6,0.4623759809459171,new,49.521308929999996,32.19337558,0.18805997141887554,2,1
3,5,0.7027248726733247,same,38.11269084,9.358035718,0.7319161143445743,2,1
12,5,0.5527048283643388,new,26.4393834,10.82212773,0.20355324254650808,2,1
2,4,0.7351712396497296,same,26.22740557,11.11918442,0.14782904573694342,2,1
11,4,0.6180050461016996,new,21.04766581,12.20478566,0.18150356915254942,2,1
1,3,0.9370954149842388,same,24.40043609,5.181766043,0.20284403204797935,2,1
14,3,0.7179251575082504,new,19.82444596,5.696560695,0.09138373626237561,2,1
8,2,0.6858627022477365,same,22.92546818,17.18497774,0.3332158320757777,2,1
13,2,0.9281363999819839,new,18.27657794,14.90293958,0.046700599972975626,2,1
7,6,0.5464574484603332,same,50.91984497,22.17450084,0.5554350212453874,3,1
15,6,0.4623759809459171,new,49.521308929999996,32.19337558,0.18805997141887554,3,1
3,5,0.7027248726733247,same,38.11269084,9.358035718,0.7319161143445743,3,1
12,5,0.5527048283643388,new,26.4393834,10.82212773,0.20355324254650808,3,1
2,4,0.7351712396497296,same,26.22740557,11.11918442,0.14782904573694342,3,1
11,4,0.6401421066645819,new,21.04766581,12.20478566,0.1602580892511081,3,1
1,3,0.9370954149842388,same,24.40043609,5.181766043,0.20284403204797935,3,1
14,3,0.7179251575082504,new,19.82444596,5.696560695,0.09138373626237561,3,1
8,2,0.6858627022477365,same,22.92546818,17.18497774,0.3332158320757777,3,1
13,2,0.9281363999819839,new,18.27657794,14.90293958,0.046700599972975626,3,1
7,6,0.5464574484603332,same,50.91984497,22.17450084,0.5554350212453874,4,1
15,6,0.4688686387587091,new,49.521308929999996,32.19337558,0.14138096671240094,4,1
3,5,0.7027248726733247,same,38.11269084,9.358035718,0.7319161143445743,4,1
12,5,0.5344954899781812,new,26.4393834,10.82212773,0.16980127736179204,4,1
2,4,0.7351712396497296,same,26.22740557,11.11918442,0.14782904573694342,4,1
11,4,0.6401421066645819,new,21.04766581,12.20478566,0.1602580892511081,4,1
1,3,0.9370954149842388,same,24.40043609,5.181766043,0.20284403204797935,4,1
14,3,0.7179251575082504,new,19.82444596,5.696560695,0.09138373626237561,4,1
8,2,0.6858627022477365,same,22.92546818,17.18497774,0.3332158320757777,4,1
13,2,0.9281363999819839,new,18.27657794,14.90293958,0.046700599972975626,4,1
7,6,0.6731346146832043,same,50.91984497,22.17450084,0.5788202642060779,5,1
15,6,0.5914318776072186,new,49.521308929999996,32.19337558,0.28281153497144496,5,1
3,5,0.9608669892428705,same,38.11269084,9.358035718,0.89955445489552055,5,1
12,5,0.5999058336696579,new,26.4393834,10.82212773,0.2169764096904695,5,1
2,4,0.7700633671767307,same,26.22740557,11.11918442,0.15581852330636198,5,1
