Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,27.266999999999978,15,135,117,111,120,118,27.632999999999978,0.8539999999999996,0.9759999999999995,4.7579999999999965,17,4,5,13,137,4,5,18,2,1,24,2,6,L,0.20170072992700727,0.2135,0.19519999999999998,0.2643333333333333
1,1,2,0,7,20.129999999999985,15,86,14,16,23,15,22.935999999999982,1.463999999999999,0.244,11.101999999999991,20,7,1,16,97,10,1,43,6,1,72,6,6,L,0.23645360824742265,0.1464,0.244,0.25818604651162785
1,2,3,0,10,54.655999999999956,17,253,96,86,93,33,59.04799999999995,0.061,0.6099999999999999,3.3549999999999973,20,1,3,7,278,1,3,14,3,0.5,23,3.5,6,L,0.21240287769784172,0.061,0.20333333333333334,0.23964285714285713
1,2,4,0,1,16.896999999999988,19,75,74,77,76,2,17.811999999999987,1.2809999999999993,2.0739999999999985,0.9759999999999995,20,5,8,2,80,5,9,2,3,0.5,24,3.75,6,L,0.22265,0.2562,0.23044444444444442,0.48799999999999993
1,3,5,0,7,9.027999999999993,14,44,13,19,16,26,9.088999999999993,4.330999999999997,5.550999999999996,7.441999999999994,15,11,16,15,45,16,28,31,6,0.5,41,5.75,6,L,0.20197777777777776,0.27068749999999997,0.19824999999999998,0.24006451612903223
1,3,6,0,8,45.871999999999964,15,201,117,111,110,57,49.47099999999996,0.8539999999999996,0.122,3.4159999999999973,20,5,1,7,215,6,1,13,2,0.5,16,2.5,6,L,0.23009767441860463,0.14233333333333334,0.122,0.26276923076923075
1,4,7,0,9,72.16300000000089,15,316,12,66,11,47,75.8840000000009,1.0369999999999995,1.2809999999999993,4.513999999999997,20,4,5,12,331,4,7,21,4,0,21,5.25,6,L,0.22925679758308154,0.25925,0.183,0.21495238095238092
1,4,8,0,3,24.09499999999998,19,107,29,32,30,112,26.96199999999998,1.2809999999999993,0.427,11.162999999999991,20,5,4,16,118,6,4,53,5,0.5,32,4.25,6,L,0.22849152542372878,0.2135,0.10675,0.21062264150943394
1,5,9,0,5,20.617999999999984,16,86,37,43,49,57,22.874999999999982,3.2939999999999974,15.554999999999987,3.0499999999999976,20,11,18,10,98,14,68,16,5,0,18,4.5,6,L,0.23341836734693874,0.23528571428571426,0.22874999999999998,0.190625
1,5,10,0,7,6.587999999999995,9,26,15,23,27,66,8.417999999999994,4.6969999999999965,2.3789999999999982,2.0739999999999985,15,14,10,7,34,30,13,7,6,0,21,5.25,6,L,0.24758823529411764,0.15656666666666666,0.183,0.29628571428571426
2,1,1,0,7,31.292999999999974,20,155,13,18,84,54,31.414999999999974,0.427,10.674999999999992,3.2329999999999974,20,2,13,12,156,2,35,17,6,0,19,4.75,6,L,0.20137820512820512,0.2135,0.30499999999999994,0.19017647058823528
