Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,1,13,61.91499999999995,9,238,118,113,10,114,61.97599999999995,0.9759999999999995,2.0739999999999985,1.7689999999999988,10,4,10,4,239,4,15,4,2,0.5,18,3,1,L,0.2593138075313807,0.244,0.13826666666666668,0.44224999999999987
1,1,2,1,12,26.71799999999998,9,118,38,47,17,71,27.937999999999978,2.8669999999999978,4.6969999999999965,5.7949999999999955,15,9,8,12,124,14,14,28,5,0,20,5,1,L,0.2253064516129032,0.20478571428571427,0.33549999999999996,0.2069642857142857
1,2,3,1,14,56.729999999999954,10,245,90,96,91,24,56.912999999999954,0.183,0.061,5.062999999999996,12,1,1,13,247,1,1,21,3,0.5,24,3.75,1,L,0.23041700404858298,0.183,0.061,0.24109523809523806
1,2,4,1,7,15.615999999999987,16,75,5,1,6,8,15.676999999999987,6.953999999999994,0.061,3.0499999999999976,17,14,1,8,76,32,1,12,6,1,72,6,1,L,0.20627631578947367,0.21731249999999996,0.061,0.25416666666666665
1,3,5,1,8,15.737999999999987,20,64,102,105,99,14,17.201999999999988,1.7689999999999988,0.305,10.430999999999992,20,7,3,17,70,9,3,44,2,0.5,18,3,1,L,0.24574285714285712,0.19655555555555554,0.10166666666666667,0.2370681818181818
1,3,6,1,1,65.57500000000013,11,279,77,81,84,60,66.97800000000014,1.4029999999999991,1.9519999999999986,8.417999999999994,18,8,7,17,286,9,7,42,3,0.5,22,3.25,1,L,0.23418881118881116,0.15588888888888888,0.2788571428571428,0.2004285714285714
1,4,7,1,14,13.41999999999999,20,64,96,90,92,85,14.700999999999988,0.183,0.9149999999999996,0.244,20,1,5,1,68,1,5,1,3,1,36,3,1,L,0.21619117647058822,0.183,0.183,0.244
1,4,8,1,15,18.970999999999986,19,96,13,23,16,18,19.092999999999986,1.524999999999999,0.6709999999999998,11.589999999999991,20,7,3,17,98,8,3,50,6,1,72,6,1,L,0.1948265306122449,0.190625,0.22366666666666665,0.23179999999999998
1,5,9,1,11,52.52099999999996,11,211,101,15,14,63,64.90399999999995,8.356999999999994,2.500999999999998,0.427,20,18,9,2,258,45,11,2,4,0,18,4.5,1,L,0.2515658914728682,0.1857111111111111,0.22736363636363632,0.2135
1,5,10,1,7,12.87099999999999,20,74,2,6,10,7,15.432999999999987,0.6099999999999999,0.061,0.9759999999999995,20,7,1,5,88,7,1,5,6,1,72,6,1,L,0.175375,0.08714285714285715,0.061,0.19519999999999998
1,6,11,1,2,52.15499999999996,12,231,14,16,54,60,63.56199999999995,0.9149999999999996,0.427,1.1589999999999994,20,3,4,5,278,3,4,7,4,0,20,5,1,L,0.22864028776978415,0.305,0.10675,0.16557142857142856
1,6,12,1,12,10.308999999999992,15,55,43,46,37,41,13.05399999999999,0.305,2.1959999999999984,0.488,20,3,9,3,70,3,11,3,5,1,60,5,1,L,0.18648571428571428,0.10166666666666667,0.19963636363636364,0.16266666666666665
1,7,13,1,3,79.78800000000177,13,339,118,14,17,72,94.91600000000176,12.07799999999999,0.061,0.7929999999999997,20,18,1,3,411,62,1,3,5,0,18,4.5,1,L,0.2309391727493917,0.19480645161290322,0.061,0.2643333333333333
1,7,14,1,1,68.44200000000046,11,299,82,75,52,51,69.41800000000046,2.2569999999999983,1.3419999999999992,1.646999999999999,19,9,7,7,307,13,8,8,3,0,14,3.5,1,L,0.2261172638436482,0.17361538461538462,0.16775,0.205875
1,8,15,1,7,32.32999999999998,14,145,4,10,9,120,32.39099999999998,6.343999999999995,2.683999999999998,9.271999999999993,15,15,6,14,146,24,11,37,6,0.5,38,5,1,L,0.22185616438356162,0.2643333333333333,0.244,0.25059459459459454
1,8,16,1,12,31.170999999999975,18,139,44,39,38,59,31.597999999999974,1.2809999999999993,2.622999999999998,15.737999999999987,20,7,6,17,142,7,7,78,5,0.5,34,4.75,1,L,0.22252112676056338,0.183,0.3747142857142856,0.20176923076923076
1,9,17,1,2,17.140999999999988,20,81,14,51,16,41,31.170999999999978,0.8539999999999996,0.5489999999999999,7.136999999999994,20,4,1,14,144,4,1,24,4,0,21,5.25,1,L,0.21646527777777774,0.2135,0.5489999999999999,0.29737499999999994
1,9,18,1,1,44.651999999999965,11,183,84,75,79,69,45.078999999999965,0.6099999999999999,1.9519999999999986,4.452999999999997,13,7,6,8,185,7,11,11,3,0.5,22,3.25,1,L,0.24367027027027024,0.08714285714285715,0.17745454545454545,0.4048181818181817
1,10,19,1,11,43.24899999999997,19,196,63,67,40,114,45.932999999999964,0.366,1.7079999999999989,1.585999999999999,20,2,6,7,211,3,8,7,4,0,15,3.75,1,L,0.21769194312796206,0.122,0.2135,0.22657142857142856
1,10,20,1,2,74.8470000000012,18,325,5,35,8,53,98.39300000000118,0.6709999999999998,0.8539999999999996,1.8299999999999987,20,5,4,6,423,5,4,8,4,0,21,5.25,1,L,0.2326075650118203,0.13419999999999999,0.2135,0.22874999999999998
1,11,21,1,7,8.234999999999994,17,47,2,9,8,11,8.478999999999994,0.6709999999999998,0.122,0.305,18,2,1,3,48,2,1,3,6,1,72,6,1,L,0.17664583333333334,0.33549999999999996,0.122,0.10166666666666667
1,11,22,1,15,18.848999999999986,20,79,13,17,20,66,18.909999999999986,0.244,7.380999999999994,1.9519999999999986,20,1,15,9,80,1,37,10,6,0.5,40,5.5,1,L,0.23637499999999997,0.244,0.19948648648648645,0.19519999999999998
2,1,1,1,13,43.736999999999966,13,185,113,109,114,70,44.773999999999965,1.4029999999999991,1.7079999999999989,3.537999999999997,18,7,7,8,190,7,8,11,2,0.5,16,2.5,1,L,0.23565263157894734,0.20042857142857143,0.2135,0.3216363636363636
2,1,2,1,2,66.67300000000026,12,299,49,57,39,77,66.91700000000026,3.781999999999997,6.282999999999995,1.7079999999999989,14,8,13,6,301,14,27,6,4,0,16,4,1,L,0.2223156146179402,0.27014285714285713,0.2327037037037037,0.2846666666666666
2,2,3,1,7,21.471999999999984,10,93,7,10,12,50,21.532999999999983,1.2199999999999993,0.122,18.299999999999986,11,6,1,16,94,6,1,91,6,0.5,40,5.5,1,L,0.22907446808510637,0.20333333333333334,0.122,0.20109890109890108
2,2,4,1,15,8.417999999999994,9,46,22,19,20,18,8.478999999999994,1.2809999999999993,2.744999999999998,1.646999999999999,10,7,10,8,47,8,14,9,6,1,72,6,1,L,0.18040425531914892,0.160125,0.19607142857142856,0.183
2,3,5,1,8,12.50499999999999,18,53,104,106,56,13,12.56599999999999,2.8669999999999978,26.04699999999998,3.659999999999997,19,7,17,12,54,8,88,18,2,0,14,3.5,1,L,0.2327037037037037,0.35837499999999994,0.2959886363636363,0.20333333333333334
2,3,6,1,12,28.486999999999977,20,145,2,9,92,62,51.84999999999996,45.200999999999965,0.122,0.061,20,19,1,1,260,173,1,1,5,0,19,4.75,1,L,0.19942307692307693,0.2612774566473988,0.122,0.061
2,4,7,1,12,45.383999999999965,13,205,43,37,17,13,45.749999999999964,3.2939999999999974,14.395999999999988,4.269999999999997,16,10,16,13,208,14,64,23,5,0,22,5.5,1,L,0.21995192307692307,0.23528571428571426,0.22493749999999998,0.18565217391304348
2,4,8,1,13,45.505999999999965,13,198,8,111,93,62,153.23200000000497,0.061,0.122,0.244,20,1,1,3,606,1,1,3,2,0,15,3.75,1,L,0.2528580858085808,0.061,0.122,0.08133333333333333
2,5,9,1,3,13.54199999999999,17,60,35,36,29,64,14.395999999999988,1.585999999999999,0.122,6.282999999999995,20,5,2,13,67,5,2,29,5,0.5,34,4.75,1,L,0.21486567164179102,0.3172,0.061,0.2166551724137931
2,5,10,1,14,19.641999999999985,19,91,95,90,86,85,19.702999999999985,0.7929999999999997,0.9149999999999996,3.781999999999997,20,6,4,9,92,6,5,13,3,1,36,3,1,L,0.21416304347826084,0.13216666666666665,0.183,0.2909230769230769
2,6,11,1,11,78.75100000000165,10,288,64,24,21,44,79.17800000000166,1.0979999999999994,4.513999999999997,3.3549999999999973,13,7,13,11,291,7,23,17,4,0,21,5.25,1,L,0.27208934707903776,0.15685714285714286,0.19626086956521738,0.19735294117647056
2,6,12,1,3,21.044999999999984,20,99,30,26,34,114,21.593999999999983,4.391999999999997,1.3419999999999992,4.818999999999996,20,11,6,14,103,20,6,26,5,0.5,32,4.25,1,L,0.20965048543689319,0.21959999999999996,0.22366666666666665,0.18534615384615383
2,7,13,1,2,47.21399999999996,19,196,57,56,59,112,47.33599999999996,1.7689999999999988,0.122,0.305,20,5,1,1,197,6,1,1,4,0.5,26,3.5,1,L,0.24028426395939084,0.2948333333333332,0.122,0.305
2,7,14,1,15,75.51800000000128,10,311,23,19,36,62,77.95800000000128,0.9759999999999995,0.244,3.903999999999997,13,4,1,10,315,4,1,18,6,0,21,5.25,1,L,0.24748571428571425,0.244,0.244,0.21688888888888888
2,8,15,1,15,16.04299999999999,19,78,17,65,21,24,22.630999999999982,6.404999999999995,0.5489999999999999,0.122,20,15,2,1,115,29,2,1,6,0.5,40,5.5,1,L,0.19679130434782607,0.22086206896551724,0.27449999999999997,0.122
