schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
7,6,0.6196293888568782,same,50.91984497,22.17450084,0.4278067503968332,1,1
15,6,0.36000000000000004,new,49.521308929999996,32.19337558,0.04928000000000002,1,1
3,5,0.9415621558168074,same,38.11269084,9.358035718,0.4161546666561547,1,1
12,5,0.44,new,26.4393834,10.82212773,0.04928000000000002,1,1
2,4,0.46327208921352964,same,26.22740557,11.11918442,0.18048730648430264,1,1
11,4,0.52,new,21.04766581,12.20478566,0.04928000000000002,1,1
1,3,0.7725217620207397,same,24.40043609,5.181766043,0.10986377103820436,1,1
14,3,0.6799999999999999,new,19.82444596,5.696560695,0.04928000000000002,1,1
8,2,0.9085180720649922,same,22.92546818,17.18497774,0.15551279101204235,1,1
13,2,0.9200000000000002,new,18.27657794,14.90293958,0.04928000000000002,1,1
7,6,0.6677524006077933,same,50.91984497,22.17450084,0.37164924290415574,2,1
15,6,0.48745893701029575,new,49.521308929999996,32.19337558,0.22568440551544358,2,1
3,5,1.0207091711219811,same,38.11269084,9.358035718,0.41002878961706896,2,1
12,5,0.5674913465731429,new,26.4393834,10.82212773,0.22573301985971442,2,1
2,4,0.5319418111888887,same,26.22740557,11.11918442,0.2293456975020504,2,1
11,4,0.5955708769231035,new,21.04766581,12.20478566,0.1478523153846552,2,1
1,3,0.8194879712299065,same,24.40043609,5.181766043,0.1473539535404932,2,1
14,3,0.7277337178227593,new,19.82444596,5.696560695,0.10609657673413914,2,1
8,2,0.9285144584258042,same,22.92546818,17.18497774,0.13885353324964747,2,1
13,2,0.9202466503436696,new,18.27657794,14.90293958,0.034865975515504105,2,1
7,6,0.6223426814175539,same,50.91984497,22.17450084,0.32826904881826813,3,1
15,6,0.48745893701029575,new,49.521308929999996,32.19337558,0.22568440551544358,3,1
3,5,1.0207091711219811,same,38.11269084,9.358035718,0.41002878961706896,3,1
12,5,0.5674913465731429,new,26.4393834,10.82212773,0.22573301985971442,3,1
2,4,0.5319418111888887,same,26.22740557,11.11918442,0.2293456975020504,3,1
11,4,0.5955708769231035,new,21.04766581,12.20478566,0.1478523153846552,3,1
1,3,0.8194879712299065,same,24.40043609,5.181766043,0.1473539535404932,3,1
14,3,0.7277337178227593,new,19.82444596,5.696560695,0.10609657673413914,3,1
8,2,0.9285144584258042,same,22.92546818,17.18497774,0.13885353324964747,3,1
13,2,0.8339697056386044,new,18.27657794,14.90293958,0.15382159991845062,3,1
7,6,0.6223426814175539,same,50.91984497,22.17450084,0.32826904881826813,4,1
