schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
7,6,0.6768899590721338,same,50.91984497,22.17450084,0.5016163657839942,1,1
15,6,0.36000000000000004,new,49.521308929999996,32.19337558,0.04928000000000002,1,1
3,5,0.5970818309365185,same,38.11269084,9.358035718,0.32789325307135575,1,1
12,5,0.44,new,26.4393834,10.82212773,0.04928000000000002,1,1
2,4,0.5522902720297667,same,26.22740557,11.11918442,0.24693377162513028,1,1
11,4,0.52,new,21.04766581,12.20478566,0.04928000000000002,1,1
1,3,0.6742808859577427,same,24.40043609,5.181766043,0.3094038459804967,1,1
14,3,0.6799999999999999,new,19.82444596,5.696560695,0.04928000000000002,1,1
8,2,0.7247108264706439,same,22.92546818,17.18497774,0.22180879483081306,1,1
13,2,0.9200000000000002,new,18.27657794,14.90293958,0.04928000000000002,1,1
7,6,0.6987541475840142,same,50.91984497,22.17450084,0.3839277388166165,2,1
15,6,0.4870365033589448,new,49.521308929999996,32.19337558,0.2250507550384171,2,1
3,5,0.6974081380107433,same,38.11269084,9.358035718,0.38001473776128636,2,1
12,5,0.5366257711013496,new,26.4393834,10.82212773,0.1794346566520244,2,1
2,4,0.6659444387594095,same,26.22740557,11.11918442,0.3433348902320554,2,1
11,4,0.5878866024450046,new,21.04766581,12.20478566,0.1363259036675068,2,1
1,3,0.723799656637759,same,24.40043609,5.181766043,0.2908608482063722,2,1
14,3,0.7345149415252102,new,19.82444596,5.696560695,0.1162684122878155,2,1
8,2,0.7832417693848645,same,22.92546818,17.18497774,0.24306257075289991,2,1
13,2,0.932684265280166,new,18.27657794,14.90293958,0.05352239792024877,2,1
7,6,0.6159124174343926,same,50.91984497,22.17450084,0.393012012396064,3,1
15,6,0.4870365033589448,new,49.521308929999996,32.19337558,0.2250507550384171,3,1
3,5,0.6974081380107433,same,38.11269084,9.358035718,0.38001473776128636,3,1
12,5,0.5366257711013496,new,26.4393834,10.82212773,0.1794346566520244,3,1
2,4,0.5181761146496243,same,26.22740557,11.11918442,0.4619869093271165,3,1
11,4,0.5878866024450046,new,21.04766581,12.20478566,0.1363259036675068,3,1
